"","d","d","d"
"535","0.0375171631765926","Politics","Passive.sport"
"536","0.0644139698076267","Politics","Active.sport"
"537","-0.0123560483830123","Politics","Gardening"
"538","-0.0261023341664577","Politics","Celebrities"
"539","-0.0628335711950569","Politics","Shopping"
"540","0.187395861298361","Politics","Science.and.technology"
"541","0.0811663049328991","Politics","Theatre"
"542","0.0106615371986863","Politics","Fun.with.friends"
"543","0.0885961915953487","Politics","Adrenaline.sports"
"544","-0.0516440501619912","Politics","Pets"
"545","-0.0284615699574424","Politics","Flying"
"546","-0.121127958729417","Politics","Storm"
"547","-0.103334818675545","Politics","Darkness"
"548","-0.0230360988771549","Politics","Heights"
"549","-0.0806763011718974","Politics","Spiders"
"550","-0.0643584830122203","Politics","Snakes"
"551","-0.0147791008567658","Politics","Rats"
"552","-0.0465553351012226","Politics","Ageing"
"553","-0.0886421633925936","Politics","Dangerous.dogs"
"554","-0.183081430063516","Politics","Fear.of.public.speaking"
